1,1,2,6.202471586161645e-05
2,0,1,0.000106666708806602
3,0,3,0.00018330871439356522
4,2,13,0.0007158521346576352
5,10,50,0.0011045930289750247
6,4,83,0.002716050455723644
7,40,326,0.010559609109969031
8,92,1069,0.037193891237092824
9,352,4274,0.1584320625904445
10,724,14753,0.640701487684538
11,2680,64144,3.4383373583555006
12,14200,314947,21.29737177180118
1,1,2,0.00020069143731019697
2,0,1,8.730867646762445e-05
3,0,3,0.0003022223416186999
4,2,13,0.009379954322944917
5,10,50,0.11295056314096319
6,4,83,0.05427083625514517
