1,1,2,9.876547111722055e-06
2,0,3,1.0271608996191214e-05
3,0,6,1.738272291663262e-05
4,2,17,3.2790136410918574e-05
5,10,54,0.00011496300838044482
6,4,153,0.0003081482698857399
7,40,552,0.0005242471206902133
8,92,2057,0.0018698278991912676
9,352,8394,0.007684743776688874
10,724,35539,0.034048013451067005
11,2680,166926,0.15521191317013816
12,14200,856189,0.7724080088525511
1,1,2,0.00015644450624968144
2,0,3,1.2641980303004438e-05
3,0,6,2.3703713068132237e-05
4,2,17,0.015657487667155627
5,10,54,0.10085139786721894
6,4,153,0.04363695551089608
7,40,552,0.5518745883948992
