1,1,2,5.017285932754859e-05
2,0,1,9.086423342784603e-05
3,0,3,0.0002970865371206069
4,2,13,0.00044246931060515707
5,10,50,0.0015419265350820888
6,4,83,0.006292545695820523
7,40,326,0.019616007749533926
8,92,1069,0.08326758845139295
9,352,4274,0.3904633641336747
10,724,14753,1.8855825720820036
11,2680,64144,12.620255849977621
12,14200,314947,60.42450624178025
1,1,2,0.00023111120241430232
2,0,1,8.533336704528126e-05
3,0,3,0.0001923951377363481
4,2,13,0.016527018874871666
5,10,50,0.1270404452505463
6,4,83,0.0537311817209607
